niveles,caseros,inquilinos
hasta 16275.4804,0.0601491446359394,0.3627586801057
entre 16275.4804 y 28647.36,0.118011176106514,0.288688220716423
entre 28647.36 y 45059.91,0.235557275948803,0.205039225445529
mas de 45059.91,0.586282403308743,0.143513873732348
