tipo,media,mediana
caseros,57853.0401565318,43180.2
caseros (excluye rentas alq.),46346.1196674882,33030.09
inquilinos,21277.1127944179,17489.52
prop. sin rentas alq.,37450.2838679993,29613.96
todos,35686.6052422871,27283.68
