tipo,media,mediana
caseros,64378.9558698663,50920
caseros (excluye rentas alq.),56516.8762971415,44598
inquilinos,29776.8265205918,21771.2
prop. sin rentas alq.,36765.7475071784,30000
todos,36978.6483603509,28800
