niveles,caseros,inquilinos
hasta 16433.44,0.0868276203971615,0.462321383263368
entre 16433.44 y 27283.68,0.164529251024373,0.29000931406078
entre 27283.68 y 43810.75,0.257036421472713,0.172111628729326
mas de 43810.75,0.491606707105752,0.075557673946525
